Job_Title,Industry,Experience_In_Current_Role,Annual_Compensation,ML_In_Use
Data Scientist,Other,3-4,"90-100,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Other,0-1,"0-10,000",I do not know
Other,Academics/Education,25-30,"200-250,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Not employed,,0,,
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Manager,Non-profit/Service,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Research Scientist,Academics/Education,5-10,"40-50,000",No (we do not use ML methods)
Data Scientist,Online Service/Internet-based Services,2-3,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Business Analyst,Retail/Sales,4-5,"20-30,000",No (we do not use ML methods)
Marketing Analyst,Computers/Technology,10-15,"0-10,000",No (we do not use ML methods)
Student,Computers/Technology,3-4,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,5-10,I do not wish to disclose my approximate yearly compensation,I do not know
Data Engineer,Manufacturing/Fabrication,3-4,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Data Analyst,Online Business/Internet-based Sales,3-4,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Accounting/Finance,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,4-5,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Research Scientist,Academics/Education,5-10,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Developer Advocate,Other,5-10,"30-40,000",No (we do not use ML methods)
Software Engineer,Other,0-1,"90-100,000",No (we do not use ML methods)
Software Engineer,Online Service/Internet-based Services,5-10,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0,,I do not know
Not employed,,0,,
Marketing Analyst,Academics/Education,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,4-5,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,I do not know
Not employed,,0,,
Not employed,,0,,
Research Assistant,Accounting/Finance,1-2,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Computers/Technology,3-4,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Manufacturing/Fabrication,3-4,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Manufacturing/Fabrication,2-3,"70-80,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Other,30 +,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Business Analyst,Retail/Sales,1-2,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Other,5-10,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Not employed,,0,,
Software Engineer,Computers/Technology,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,2-3,,I do not know
Student,I am a student,2-3,"0-10,000",I do not know
Data Analyst,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Other,Accounting/Finance,2-3,"0-10,000",I do not know
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Data Scientist,Online Service/Internet-based Services,2-3,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Computers/Technology,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,3-4,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Insurance/Risk Assessment,0-1,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0,,I do not know
Manager,Shipping/Transportation,10-15,"400-500,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Not employed,,0,,
Software Engineer,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Business Analyst,Computers/Technology,5-10,"0-10,000",No (we do not use ML methods)
Data Analyst,Broadcasting/Communications,10-15,"40-50,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Computers/Technology,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,3-4,"10-20,000",No (we do not use ML methods)
Not employed,,0,,
Business Analyst,Computers/Technology,10-15,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Non-profit/Service,5-10,"10-20,000",No (we do not use ML methods)
Software Engineer,Manufacturing/Fabrication,5-10,"60-70,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,0-1,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Consultant,Computers/Technology,25-30,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Computers/Technology,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Assistant,Academics/Education,1-2,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Manager,Broadcasting/Communications,5-10,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Research Scientist,Computers/Technology,10-15,"250-300,000",We use ML methods for generating insights (but do not put working models into production)
